No,SEQ MEREK,NAMA MEREK,JNS PROD,KD ASAL,ISI,SATUAN,HJE,TARIF SPESIFIK,NO KEP,TGL KEP,BAHAN KEMASAN,ID MEREK DETAIL,ID JENIS KEMASAN,ID JENIS PRODUKSI BKC,SERI PITA,KETERANGAN,JENIS PRODUKSI HT,TGL DOK PRODUKSI,NO DOK PRODUKSI,JUMLAH KEMASAN,JUMLAH KEMASAN BERPITA
11,06135564-bc06-0706-0101-001907278160,GEDUNG CENGKEH COKLAT 99,SKT,D,12,btg,10325,122,KEP-1059/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451b-0279-b66f-e064-90e2ba3fefe8,,7,1,-,44,08/05/2026,06 (2026),30000,30000
12,06135564-bc06-0706-0101-001907278160,GEDUNG CENGKEH COKLAT 99,SKT,D,12,btg,10325,122,KEP-1059/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451b-0279-b66f-e064-90e2ba3fefe8,,7,1,-,44,09/05/2026,07 (2026),30500,30500
13,06135564-bc06-0706-0101-001907285704,NEW GEDUNG CENGKEH COKLAT,SKT,D,16,btg,13775,122,KEP-2745/KBC.1201/TRF/2024,2024-12-20,Kertas dan Sejenisnya,41de451a-e061-b66f-e064-90e2ba3fefe8,,7,1,-,44,11/05/2026,08 (2026),6000,6000
14,06135564-bc06-0706-0101-001907278160,GEDUNG CENGKEH COKLAT 99,SKT,D,12,btg,10325,122,KEP-1059/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451b-0279-b66f-e064-90e2ba3fefe8,,7,1,-,44,11/05/2026,08 (2026),20000,20000
15,06135564-bc06-0706-0101-001907285704,NEW GEDUNG CENGKEH COKLAT,SKT,D,16,btg,13775,122,KEP-2745/KBC.1201/TRF/2024,2024-12-20,Kertas dan Sejenisnya,41de451a-e061-b66f-e064-90e2ba3fefe8,,7,1,-,44,12/05/2026,09 (2026),39000,39000
16,06135564-bc06-0706-0101-001907285704,NEW GEDUNG CENGKEH COKLAT,SKT,D,16,btg,13775,122,KEP-2745/KBC.1201/TRF/2024,2024-12-20,Kertas dan Sejenisnya,41de451a-e061-b66f-e064-90e2ba3fefe8,,7,1,-,44,13/05/2026,10 (2026),4600,4600
17,06135564-bc06-0706-0101-001907278160,GEDUNG CENGKEH COKLAT 99,SKT,D,12,btg,10325,122,KEP-1059/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451b-0279-b66f-e064-90e2ba3fefe8,,7,1,-,44,13/05/2026,10 (2026),50000,50000
18,06135564-bc06-0706-0101-001907278160,GEDUNG CENGKEH COKLAT 99,SKT,D,12,btg,10325,122,KEP-1059/KBC.1201/TRF/2024,2024-12-13,Kertas dan Sejenisnya,41de451b-0279-b66f-e064-90e2ba3fefe8,,7,1,-,44,14/05/2026,11 (2026),56000,56000
19,06135564-bc06-0706-0101-001907285704,NEW GEDUNG CENGKEH COKLAT,SKT,D,16,btg,13775,122,KEP-2745/KBC.1201/TRF/2024,2024-12-20,Kertas dan Sejenisnya,41de451a-e061-b66f-e064-90e2ba3fefe8,,7,1,-,44,18/05/2026,12 (2026),21000,21000
20,06135564-bc06-0706-0101-001907285704,NEW GEDUNG CENGKEH COKLAT,SKT,D,16,btg,13775,122,KEP-2745/KBC.1201/TRF/2024,2024-12-20,Kertas dan Sejenisnya,41de451a-e061-b66f-e064-90e2ba3fefe8,,7,1,-,44,19/05/2026,13 (2026),36000,36000
21,06135564-bc06-0706-0101-001907285704,NEW GEDUNG CENGKEH COKLAT,SKT,D,16,btg,13775,122,KEP-2745/KBC.1201/TRF/2024,2024-12-20,Kertas dan Sejenisnya,41de451a-e061-b66f-e064-90e2ba3fefe8,,7,1,-,44,20/05/2026,14 (2026),33600,33600
