periode_ck4c,no_dokumen_produksi,tanggal_produksi,jenis,merek_app,merek_cukai,hje,bahan_kemasan,isi,satuan,jumlah_kemasan,jumlah_isi,kemasan_dilekati_pita,status_pita,sumber_verpack,status_mapping,validasi,catatan
Mei 2026,07 (2026),2026-05-09,SKT,Cengkeh Biru 77 isi 16,,,Kertas dan Sejenisnya,16,btg,1200,19200,,PENDING MAPPING,browse_verpack.csv,DATA BELUM VALID - MASTER MEREK/HJE BELUM ADA,DATA BELUM VALID,Ditahan dari CSV upload cukai sampai master merek/HJE dikunci
Mei 2026,07 (2026),2026-05-09,SKT,Cengkeh Biru 77 isi 12,,,Kertas dan Sejenisnya,12,btg,2000,24000,,PENDING MAPPING,browse_verpack.csv,DATA BELUM VALID - MASTER MEREK/HJE BELUM ADA,DATA BELUM VALID,Ditahan dari CSV upload cukai sampai master merek/HJE dikunci
Mei 2026,07 (2026),2026-05-09,SKT,GCC 99 isi 12,GEDUNG CENGKEH COKLAT 99,10325,Kertas dan Sejenisnya,12,btg,30500,366000,30500,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,08 (2026),2026-05-11,SKT,GCC 99 isi 16,NEW GEDUNG CENGKEH COKLAT,13775,Kertas dan Sejenisnya,16,btg,6000,96000,6000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,08 (2026),2026-05-11,SKT,GCC 99 isi 12,GEDUNG CENGKEH COKLAT 99,10325,Kertas dan Sejenisnya,12,btg,20000,240000,20000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,09 (2026),2026-05-12,SKT,GCC 99 isi 16,NEW GEDUNG CENGKEH COKLAT,13775,Kertas dan Sejenisnya,16,btg,39000,624000,39000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,10 (2026),2026-05-13,SKT,GCC 99 isi 16,NEW GEDUNG CENGKEH COKLAT,13775,Kertas dan Sejenisnya,16,btg,4600,73600,4600,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,10 (2026),2026-05-13,SKT,GCC 99 isi 12,GEDUNG CENGKEH COKLAT 99,10325,Kertas dan Sejenisnya,12,btg,50000,600000,50000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,11 (2026),2026-05-14,SKT,GCC 99 isi 12,GEDUNG CENGKEH COKLAT 99,10325,Kertas dan Sejenisnya,12,btg,56000,672000,56000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,12 (2026),2026-05-18,SKT,New GCC 99 isi 16 Ambree Kuning,NEW GEDUNG CENGKEH COKLAT,13775,Kertas dan Sejenisnya,16,btg,21000,336000,21000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,13 (2026),2026-05-19,SKT,New GCC 99 isi 16 Ambree Kuning,NEW GEDUNG CENGKEH COKLAT,13775,Kertas dan Sejenisnya,16,btg,36000,576000,36000,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
Mei 2026,14 (2026),2026-05-20,SKT,New GCC 99 isi 16 Ambree Kuning,NEW GEDUNG CENGKEH COKLAT,13775,Kertas dan Sejenisnya,16,btg,33600,537600,33600,BERPITA,browse_verpack.csv,VALID MAPPING,VALID AWAL - CK4C dari verpack official,Masuk CSV upload cukai
